Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Distance
12.838,-0.94,0.38,-9.62,0.06,-0.08,-0.05,3453.05
12.873,-0.94,0.38,-9.62,0.06,-0.08,-0.05,3453.05
12.917,-0.94,0.4,-9.63,0.06,-0.08,-0.05,3453.05
12.944,-0.94,0.4,-9.63,0.06,-0.08,-0.05,3453.05
12.977,-0.94,0.4,-9.63,0.06,-0.08,-0.05,3453.05
13.008,-0.94,0.4,-9.63,0.06,-0.08,-0.05,3453.05
13.038,-0.94,0.4,-9.63,0.06,-0.08,-0.05,3453.05
13.069,-0.94,0.4,-9.63,0.06,-0.08,-0.05,3453.05
13.113,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3452.63
13.231,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3452.63
13.244,-0.94,0.39,-9.63,0.06,-0.08,-0.05,3453.47
13.273,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3454.32
13.303,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3454.32
13.347,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3454.32
13.372,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3454.32
13.408,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3451.35
13.435,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3451.35
13.468,-0.95,0.36,-9.62,0.06,-0.08,-0.05,3451.35
13.507,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
13.543,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
13.569,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3454.32
13.601,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3454.32
13.729,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
13.741,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
